Year,Top Grossing Movie (TGM),Total Domestic Gross of TGM,Oscar Winner,Total Domestic Gross of Oscar Winners,Did the TGM win Best Picture?
2024,Inside Out 2,"$596,375,604",Oppenheimer,"$329,862,540",False
2023,Barbie,"$636,238,421",Everything Everywhere All at Once,"$77,191,785",False
2022,Top Gun: Maverick,"$718,732,821",CODA,"$2,601,649",False
2021,Spider-Man: No Way Home,"$804,793,477",Nomadland,"$3,700,000",False
2020,Bad Boys for Life,"$206,305,244",Parasite,"$53,369,749",False
2019,Avengers: Endgame,"$858,373,000",Green Book,"$85,080,171",False
2018,Black Panther,"$700,059,566",The Shape of Water,"$63,859,435",False
2017,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",Moonlight,"$27,854,932",False
2016,Finding Dory,"$486,295,561",Spotlight,"$45,055,776",False
2015,Jurassic World,"$652,270,625",Birdman or (The Unexpected Virtue of Ignorance),"$42,340,598",False
2014,Guardians of the Galaxy,"$333,176,600",12 Years a Slave,"$56,671,993",False
2013,Iron Man 3,"$409,013,994",Argo,"$136,025,503",False
2012,The Avengers,"$623,357,910",The Artist,"$44,671,682",False
2011,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219",The King’s Speech,"$138,797,449",False
2010,Avatar,"$749,766,139",The Hurt Locker,"$17,017,811",False
2009,Transformers: Revenge of the Fallen,"$402,111,870",Slumdog Millionaire,"$141,319,928",False
2008,The Dark Knight,"$533,345,358",No Country For Old Men,"$74,283,625",False
2007,Spider-Man 3,"$336,530,303",The Departed,"$132,399,394",False
2006,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812",Crash,"$54,580,300",False
2005,Star Wars: Episode III - Revenge of the Sith,"$380,270,577",Million Dollar Baby,"$100,492,203",False
2004,Shrek 2,"$441,426,807",Lord Of The Rings: Return Of The King,"$377,027,325",False
2003,Finding Nemo,"$339,714,978",Chicago,"$170,687,518",False
2002,Spider-Man,"$403,706,375",A Beautiful Mind,"$170,742,341",False
2001,Harry Potter and the Sorcerer's Stone,"$317,575,550",Gladiator,"$187,705,427",False
2000,How the Grinch Stole Christmas,"$260,745,620",American Beauty,"$130,096,601",False
1999,Star Wars: Episode I - The Phantom Menace,"$431,088,295",Shakespeare In Love,"$100,317,794",False
1998,Titanic,"$600,683,057",Titanic,"$600,683,057",True
1997,Men in Black,"$250,690,539",The English Patient,"$78,676,425",False
1996,Independence Day,"$306,169,268",Braveheart,"$75,609,945",False
1995,Batman Forever,"$184,031,112",Forrest Gump,"$330,455,270",False
1994,The Lion King,"$312,855,561",Schindler’s List,"$96,898,818",False
1993,Jurassic Park,"$357,067,947",Unforgiven,"$101,167,799",False
1992,Batman Returns,"$162,831,698",The Silence Of The Lambs,"$130,742,922",False
1991,Terminator 2: Judgment Day,"$204,843,345",Dances With Wolves,"$184,208,848",False
1990,Ghost,"$217,631,306",Driving Miss Daisy,"$106,593,296",False
1989,Batman,"$251,188,924",Rain Man,"$172,825,435",False
1988,Who Framed Roger Rabbit,"$156,452,370",The Last Emperor 1987,"$43,984,230",False
1987,Beverly Hills Cop II,"$153,665,036",Platoon,"$138,530,565",False
1986,Top Gun,"$176,781,728",Out Of Africa,"$87,071,205",False
1985,Back to the Future,"$211,850,472",Amadeus,"$51,973,029",False
1984,Ghostbusters,"$229,242,989",Terms Of Endearment,"$108,423,489",False
